ftof_p1a_s1 | fc | G4Trd | 20.15*cm, 200.0*cm, 6.54*cm, 6.54*cm, 178.1374*cm | G4_AIR | 227.9522006*cm, 0.0*cm, 652.1087354*cm | ordered: ordered: zyx, -90.0*deg, 0.0*deg, -115.0*deg | na | 0 | 0 | 000000 | na | na | na | na | na | na | 1 | Forward TOF - Panel 1a - Sector 1 |
panel1b_sector2_paddle_24 | ftof_p1b_s2 | G4Box | 82.26*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -46.02*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 24, side: 0 | na | na | na | na | 1 | paddle 24 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_25 | ftof_p1b_s2 | G4Box | 85.49*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -39.82*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 25, side: 0 | na | na | na | na | 1 | paddle 25 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_26 | ftof_p1b_s2 | G4Box | 88.665*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -33.78*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 26, side: 0 | na | na | na | na | 1 | paddle 26 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_27 | ftof_p1b_s2 | G4Box | 91.895*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -27.58*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 27, side: 0 | na | na | na | na | 1 | paddle 27 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_28 | ftof_p1b_s2 | G4Box | 95.07*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -21.54*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 28, side: 0 | na | na | na | na | 1 | paddle 28 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_29 | ftof_p1b_s2 | G4Box | 98.3*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -15.34*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 29, side: 0 | na | na | na | na | 1 | paddle 29 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_30 | ftof_p1b_s2 | G4Box | 101.475*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -9.3*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 30, side: 0 | na | na | na | na | 1 | paddle 30 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_31 | ftof_p1b_s2 | G4Box | 104.705*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, -3.1*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 31, side: 0 | na | na | na | na | 1 | paddle 31 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_32 | ftof_p1b_s2 | G4Box | 107.88*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 2.94*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 32, side: 0 | na | na | na | na | 1 | paddle 32 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_33 | ftof_p1b_s2 | G4Box | 111.11*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 9.14*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 33, side: 0 | na | na | na | na | 1 | paddle 33 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_34 | ftof_p1b_s2 | G4Box | 114.285*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 15.18*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 34, side: 0 | na | na | na | na | 1 | paddle 34 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_35 | ftof_p1b_s2 | G4Box | 117.515*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 21.38*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 35, side: 0 | na | na | na | na | 1 | paddle 35 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_36 | ftof_p1b_s2 | G4Box | 120.69*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 27.42*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 36, side: 0 | na | na | na | na | 1 | paddle 36 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_37 | ftof_p1b_s2 | G4Box | 123.92*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 33.62*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 37, side: 0 | na | na | na | na | 1 | paddle 37 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_38 | ftof_p1b_s2 | G4Box | 127.095*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 39.66*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 38, side: 0 | na | na | na | na | 1 | paddle 38 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_39 | ftof_p1b_s2 | G4Box | 130.325*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 45.86*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 39, side: 0 | na | na | na | na | 1 | paddle 39 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_40 | ftof_p1b_s2 | G4Box | 133.5*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 51.9*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 40, side: 0 | na | na | na | na | 1 | paddle 40 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_41 | ftof_p1b_s2 | G4Box | 136.73*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 58.1*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 41, side: 0 | na | na | na | na | 1 | paddle 41 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_42 | ftof_p1b_s2 | G4Box | 139.905*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 64.14*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 42, side: 0 | na | na | na | na | 1 | paddle 42 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_43 | ftof_p1b_s2 | G4Box | 143.135*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 70.34*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 43, side: 0 | na | na | na | na | 1 | paddle 43 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_44 | ftof_p1b_s2 | G4Box | 146.31*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 76.38*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 44, side: 0 | na | na | na | na | 1 | paddle 44 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_45 | ftof_p1b_s2 | G4Box | 149.54*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 82.58*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 45, side: 0 | na | na | na | na | 1 | paddle 45 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_46 | ftof_p1b_s2 | G4Box | 152.715*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 88.62*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 46, side: 0 | na | na | na | na | 1 | paddle 46 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_47 | ftof_p1b_s2 | G4Box | 155.94*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 94.82*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 47, side: 0 | na | na | na | na | 1 | paddle 47 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_48 | ftof_p1b_s2 | G4Box | 159.115*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 100.86*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 48, side: 0 | na | na | na | na | 1 | paddle 48 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_49 | ftof_p1b_s2 | G4Box | 162.345*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 107.06*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 49, side: 0 | na | na | na | na | 1 | paddle 49 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_50 | ftof_p1b_s2 | G4Box | 165.52*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 113.1*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 50, side: 0 | na | na | na | na | 1 | paddle 50 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_51 | ftof_p1b_s2 | G4Box | 168.75*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 119.3*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 51, side: 0 | na | na | na | na | 1 | paddle 51 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_52 | ftof_p1b_s2 | G4Box | 171.925*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 125.34*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 52, side: 0 | na | na | na | na | 1 | paddle 52 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_53 | ftof_p1b_s2 | G4Box | 175.155*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 131.54*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 53, side: 0 | na | na | na | na | 1 | paddle 53 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_54 | ftof_p1b_s2 | G4Box | 178.33*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 137.58*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 54, side: 0 | na | na | na | na | 1 | paddle 54 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_55 | ftof_p1b_s2 | G4Box | 181.56*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 143.78*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 55, side: 0 | na | na | na | na | 1 | paddle 55 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_56 | ftof_p1b_s2 | G4Box | 184.735*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 149.82*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 56, side: 0 | na | na | na | na | 1 | paddle 56 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_57 | ftof_p1b_s2 | G4Box | 187.965*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 156.02*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 57, side: 0 | na | na | na | na | 1 | paddle 57 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_58 | ftof_p1b_s2 | G4Box | 191.14*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 162.06*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 58, side: 0 | na | na | na | na | 1 | paddle 58 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_59 | ftof_p1b_s2 | G4Box | 194.37*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 168.26*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 59, side: 0 | na | na | na | na | 1 | paddle 59 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_60 | ftof_p1b_s2 | G4Box | 197.545*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 174.3*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 60, side: 0 | na | na | na | na | 1 | paddle 60 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_61 | ftof_p1b_s2 | G4Box | 200.775*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 180.5*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 61, side: 0 | na | na | na | na | 1 | paddle 61 - Panel 1b - Sector 2 |
panel1b_sector2_paddle_62 | ftof_p1b_s2 | G4Box | 203.95*cm, 3.0*cm, 3.0*cm | scintillator | 0.0*cm, 0.0*cm, 186.54*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | 11ffaa | ftof | sector: 2, panel: 2, paddle: 62, side: 0 | na | na | na | na | 1 | paddle 62 - Panel 1b - Sector 2 |
ftof_p2_s2 | fc | G4Trd | 189.65*cm, 223.95*cm, 6.54*cm, 6.54*cm, 59.604*cm | G4_AIR | 203.5360648*cm, 352.5348055*cm, 496.5202621*cm | ordered: ordered: zyx, -150.0*deg, 0.0*deg, -148.11*deg | na | 0 | 0 | 000000 | na | na | na | na | na | na | 1 | Forward TOF - Panel 2 - Sector 2 |
panel2_sector2_paddle_1 | ftof_p2_s2 | G4Box | 185.65*cm, 2.54*cm, 11.0*cm | scintillator | 0.0*cm, 0.0*cm, -44.604*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 2, panel: 3, paddle: 1, side: 0 | na | na | na | na | 1 | paddle 1 - Panel 2 - Sector 2 |
panel2_sector2_paddle_2 | ftof_p2_s2 | G4Box | 192.5*cm, 2.54*cm, 11.0*cm | scintillator | 0.0*cm, 0.0*cm, -22.302*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 2, panel: 3, paddle: 2, side: 0 | na | na | na | na | 1 | paddle 2 - Panel 2 - Sector 2 |
panel2_sector2_paddle_3 | ftof_p2_s2 | G4Box | 199.35*cm, 2.54*cm, 11.0*cm | scintillator | 0.0*cm, 0.0*cm, 0.0*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 2, panel: 3, paddle: 3, side: 0 | na | na | na | na | 1 | paddle 3 - Panel 2 - Sector 2 |
panel2_sector2_paddle_4 | ftof_p2_s2 | G4Box | 206.25*cm, 2.54*cm, 11.0*cm | scintillator | 0.0*cm, 0.0*cm, 22.302*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 2, panel: 3, paddle: 4, side: 0 | na | na | na | na | 1 | paddle 4 - Panel 2 - Sector 2 |
panel2_sector2_paddle_5 | ftof_p2_s2 | G4Box | 213.1*cm, 2.54*cm, 11.0*cm | scintillator | 0.0*cm, 0.0*cm, 44.604*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 2, panel: 3, paddle: 5, side: 0 | na | na | na | na | 1 | paddle 5 - Panel 2 - Sector 2 |
ftof_shield_p2_sector2 | ftof_p2_s2 | G4Trd | 185.65*cm, 219.95*cm, 0.00635*cm, 0.00635*cm, 55.604*cm | G4_Pb | 0.0*cm, -2.54735*cm, 0.0*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | dc143c | na | na | na | na | na | na | 1 | Layer of lead - layer 2 -  Sector 2 |
ftof_p1a_s3 | fc | G4Trd | 20.15*cm, 200.0*cm, 6.54*cm, 6.54*cm, 178.1374*cm | G4_AIR | -113.9761003*cm, 197.4123966*cm, 652.1087354*cm | ordered: ordered: zyx, -210.0*deg, 0.0*deg, -115.0*deg | na | 0 | 0 | 000000 | na | na | na | na | na | na | 1 | Forward TOF - Panel 1a - Sector 3 |
panel1a_sector3_paddle_1 | ftof_p1a_s3 | G4Box | 16.15*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -166.6324*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 1, side: 0 | na | na | na | na | 1 | paddle 1 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_2 | ftof_p1a_s3 | G4Box | 24.05*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -151.484*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 2, side: 0 | na | na | na | na | 1 | paddle 2 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_3 | ftof_p1a_s3 | G4Box | 32.0*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -136.3356*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 3, side: 0 | na | na | na | na | 1 | paddle 3 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_4 | ftof_p1a_s3 | G4Box | 39.9*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -121.1872*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 4, side: 0 | na | na | na | na | 1 | paddle 4 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_5 | ftof_p1a_s3 | G4Box | 47.85*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -106.0388*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 5, side: 0 | na | na | na | na | 1 | paddle 5 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_6 | ftof_p1a_s3 | G4Box | 53.3*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -90.8904*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 6, side: 0 | na | na | na | na | 1 | paddle 6 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_7 | ftof_p1a_s3 | G4Box | 61.2*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -75.742*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 7, side: 0 | na | na | na | na | 1 | paddle 7 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_8 | ftof_p1a_s3 | G4Box | 69.15*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -60.5936*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 8, side: 0 | na | na | na | na | 1 | paddle 8 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_9 | ftof_p1a_s3 | G4Box | 77.05*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -45.4452*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 9, side: 0 | na | na | na | na | 1 | paddle 9 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_10 | ftof_p1a_s3 | G4Box | 85.0*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -30.2968*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 10, side: 0 | na | na | na | na | 1 | paddle 10 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_11 | ftof_p1a_s3 | G4Box | 92.9*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -15.1484*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 11, side: 0 | na | na | na | na | 1 | paddle 11 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_12 | ftof_p1a_s3 | G4Box | 100.85*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 0.0*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 12, side: 0 | na | na | na | na | 1 | paddle 12 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_13 | ftof_p1a_s3 | G4Box | 108.8*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 15.1484*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 13, side: 0 | na | na | na | na | 1 | paddle 13 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_14 | ftof_p1a_s3 | G4Box | 116.7*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 30.2968*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 14, side: 0 | na | na | na | na | 1 | paddle 14 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_15 | ftof_p1a_s3 | G4Box | 124.65*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 45.4452*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 15, side: 0 | na | na | na | na | 1 | paddle 15 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_16 | ftof_p1a_s3 | G4Box | 132.55*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 60.5936*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 16, side: 0 | na | na | na | na | 1 | paddle 16 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_17 | ftof_p1a_s3 | G4Box | 140.5*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 75.742*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 17, side: 0 | na | na | na | na | 1 | paddle 17 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_18 | ftof_p1a_s3 | G4Box | 148.4*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 90.8904*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 18, side: 0 | na | na | na | na | 1 | paddle 18 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_19 | ftof_p1a_s3 | G4Box | 156.35*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 106.0388*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 19, side: 0 | na | na | na | na | 1 | paddle 19 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_20 | ftof_p1a_s3 | G4Box | 164.25*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 121.1872*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 20, side: 0 | na | na | na | na | 1 | paddle 20 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_21 | ftof_p1a_s3 | G4Box | 172.2*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 136.3356*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 21, side: 0 | na | na | na | na | 1 | paddle 21 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_22 | ftof_p1a_s3 | G4Box | 180.1*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 151.484*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 22, side: 0 | na | na | na | na | 1 | paddle 22 - Panel 1a - Sector 3 |
panel1a_sector3_paddle_23 | ftof_p1a_s3 | G4Box | 188.05*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, 166.6324*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 3, panel: 1, paddle: 23, side: 0 | na | na | na | na | 1 | paddle 23 - Panel 1a - Sector 3 |
ftof_shield_p1a_sector3 | ftof_p1a_s3 | G4Trd | 16.15*cm, 196.0*cm, 0.00635*cm, 0.00635*cm, 174.1374*cm | G4_Pb | 0.0*cm, -2.54735*cm, 0.0*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | dc143c | na | na | na | na | na | na | 1 | Layer of lead - layer 1a -  Sector 3 |
ftof_p1b_s3 | fc | G4Trd | 12.635*cm, 211.125*cm, 7.0*cm, 7.0*cm, 193.62*cm | G4_AIR | -109.4972936*cm, 189.6548757*cm, 638.3495944*cm | ordered: ordered: zyx, -210.0*deg, 0.0*deg, -115.0*deg | na | 0 | 0 | 000000 | na | na | na | na | na | na | 1 | Forward TOF - Panel 1b - Sector 3 |
